# record_255_LTAN=14h_20250801000000Z_20250801010000Z_dt60.0_methodAACGM.csv
DATETIME,GLAT,GLON,ALT_KM,SUNLIT,MLAT,MLT,L
2025-08-01T00:00:00Z,55.381,43.281,599.653,True,53.745,3.044,3.128
2025-08-01T00:01:00Z,51.756,41.564,598.838,True,50.225,2.915,2.673
2025-08-01T00:02:00Z,48.112,40.065,598.02,True,46.666,2.807,2.323
2025-08-01T00:03:00Z,44.454,38.731,597.215,True,43.08,2.714,2.05
2025-08-01T00:04:00Z,40.785,37.525,596.443,True,39.481,2.635,1.836
2025-08-01T00:05:00Z,37.106,36.418,595.721,False,35.888,2.566,1.666
2025-08-01T00:06:00Z,33.419,35.391,595.068,False,32.326,2.505,1.531
2025-08-01T00:07:00Z,29.725,34.426,594.499,False,28.834,2.452,1.425
2025-08-01T00:08:00Z,26.025,33.512,594.032,False,25.471,2.405,1.341
2025-08-01T00:09:00Z,22.321,32.639,593.68,False,22.327,2.363,1.277
2025-08-01T00:10:00Z,18.613,31.797,593.455,False,19.54,2.326,1.231
2025-08-01T00:11:00Z,14.902,30.981,593.37,False,17.312,2.293,1.199
2025-08-01T00:12:00Z,11.189,30.183,593.432,False,15.9,2.263,1.182
2025-08-01T00:13:00Z,7.474,29.4,593.648,False,-15.533,2.233,1.178
2025-08-01T00:14:00Z,3.758,28.625,594.021,False,-16.27,2.203,1.186
2025-08-01T00:15:00Z,0.042,27.855,594.554,False,-17.945,2.169,1.208
2025-08-01T00:16:00Z,-3.673,27.085,595.244,False,-20.285,2.129,1.243
2025-08-01T00:17:00Z,-7.386,26.311,596.088,False,-23.033,2.082,1.291
2025-08-01T00:18:00Z,-11.098,25.528,597.079,False,-25.998,2.023,1.354
2025-08-01T00:19:00Z,-14.807,24.732,598.209,False,-29.046,1.951,1.431
2025-08-01T00:20:00Z,-18.512,23.917,599.464,False,-32.086,1.864,1.524
2025-08-01T00:21:00Z,-22.213,23.077,600.833,False,-35.055,1.761,1.633
2025-08-01T00:22:00Z,-25.909,22.206,602.3,False,-37.911,1.642,1.758
2025-08-01T00:23:00Z,-29.6,21.295,603.846,False,-40.63,1.507,1.901
2025-08-01T00:24:00Z,-33.283,20.335,605.453,False,-43.201,1.357,2.061
2025-08-01T00:25:00Z,-36.959,19.312,607.101,False,-45.626,1.194,2.239
2025-08-01T00:26:00Z,-40.626,18.212,608.769,False,-47.915,1.019,2.439
2025-08-01T00:27:00Z,-44.282,17.015,610.435,False,-50.084,0.831,2.661
2025-08-01T00:28:00Z,-47.926,15.692,612.078,False,-52.151,0.632,2.911
2025-08-01T00:29:00Z,-51.556,14.208,613.677,False,-54.132,0.42,3.193
2025-08-01T00:30:00Z,-55.166,12.512,615.21,False,-56.04,0.192,3.514
2025-08-01T00:31:00Z,-58.754,10.53,616.657,False,-57.886,23.946,3.881
2025-08-01T00:32:00Z,-62.309,8.153,617.999,False,-59.67,23.677,4.301
2025-08-01T00:33:00Z,-65.821,5.21,619.218,False,-61.388,23.381,4.784
2025-08-01T00:34:00Z,-69.269,1.427,620.299,False,-63.026,23.052,5.333
2025-08-01T00:35:00Z,-72.615,-3.667,621.226,False,-64.558,22.684,5.946
2025-08-01T00:36:00Z,-75.791,-10.907,621.989,False,-65.945,22.271,6.606
2025-08-01T00:37:00Z,-78.654,-21.804,622.577,False,-67.135,21.808,7.27
2025-08-01T00:38:00Z,-80.904,-38.721,622.982,False,-68.059,21.293,7.862
2025-08-01T00:39:00Z,-82.01,-62.916,623.201,True,-68.646,20.732,8.279
2025-08-01T00:40:00Z,-81.511,-88.927,623.231,True,-68.826,20.139,8.414
2025-08-01T00:41:00Z,-79.637,-108.802,623.072,True,-68.554,19.534,8.211
2025-08-01T00:42:00Z,-76.967,-121.754,622.727,True,-67.814,18.943,7.697
2025-08-01T00:43:00Z,-73.892,-130.203,622.203,True,-66.626,18.386,6.973
2025-08-01T00:44:00Z,-70.602,-136.011,621.507,True,-65.039,17.878,6.162
2025-08-01T00:45:00Z,-67.19,-140.239,620.649,True,-63.111,17.424,5.365
2025-08-01T00:46:00Z,-63.701,-143.471,619.643,True,-60.906,17.022,4.64
2025-08-01T00:47:00Z,-60.162,-146.046,618.503,True,-58.477,16.668,4.013
2025-08-01T00:48:00Z,-56.588,-148.167,617.245,True,-55.874,16.356,3.485
2025-08-01T00:49:00Z,-52.987,-149.965,615.887,True,-53.134,16.081,3.047
2025-08-01T00:50:00Z,-49.366,-151.526,614.45,True,-50.289,15.837,2.686
2025-08-01T00:51:00Z,-45.73,-152.906,612.951,True,-47.364,15.62,2.389
2025-08-01T00:52:00Z,-42.08,-154.15,611.414,True,-44.38,15.425,2.145
2025-08-01T00:53:00Z,-38.419,-155.285,609.858,True,-41.358,15.25,1.945
2025-08-01T00:54:00Z,-34.749,-156.336,608.304,True,-38.315,15.092,1.779
2025-08-01T00:55:00Z,-31.07,-157.319,606.774,True,-35.275,14.949,1.643
2025-08-01T00:56:00Z,-27.385,-158.248,605.287,True,-32.263,14.819,1.531
2025-08-01T00:57:00Z,-23.694,-159.133,603.863,True,-29.316,14.7,1.44
2025-08-01T00:58:00Z,-19.997,-159.984,602.519,True,-26.484,14.59,1.366
2025-08-01T00:59:00Z,-16.296,-160.808,601.271,True,-23.834,14.49,1.308
