,START,END,DURATION_SEC
0,2025-08-01 00:00:00+00:00,2025-08-01 00:39:30+00:00,2370.0
1,2025-08-01 01:27:40+00:00,2025-08-01 02:12:00+00:00,2660.0
2,2025-08-01 03:00:40+00:00,2025-08-01 03:45:00+00:00,2660.0
3,2025-08-01 04:32:30+00:00,2025-08-01 05:18:20+00:00,2750.0
4,2025-08-01 06:04:00+00:00,2025-08-01 06:51:50+00:00,2870.0
5,2025-08-01 07:36:20+00:00,2025-08-01 08:25:00+00:00,2920.0
6,2025-08-01 09:09:10+00:00,2025-08-01 09:42:00+00:00,1970.0
7,2025-08-01 09:47:30+00:00,2025-08-01 09:58:10+00:00,640.0
8,2025-08-01 10:42:10+00:00,2025-08-01 11:15:50+00:00,2020.0
9,2025-08-01 11:20:50+00:00,2025-08-01 11:31:10+00:00,620.0
10,2025-08-01 12:16:00+00:00,2025-08-01 13:04:00+00:00,2880.0
11,2025-08-01 13:50:30+00:00,2025-08-01 14:37:10+00:00,2800.0
12,2025-08-01 15:25:00+00:00,2025-08-01 16:10:40+00:00,2740.0
13,2025-08-01 16:59:10+00:00,2025-08-01 17:44:20+00:00,2710.0
14,2025-08-01 18:33:00+00:00,2025-08-01 19:18:10+00:00,2710.0
15,2025-08-01 20:06:50+00:00,2025-08-01 20:52:10+00:00,2720.0
16,2025-08-01 21:40:20+00:00,2025-08-01 22:25:30+00:00,2710.0
17,2025-08-01 23:13:10+00:00,2025-08-01 23:58:10+00:00,2700.0
